"NameOfStation";"Line";"Year";"Quarter";"IncomingPassengers";"OutgoingPassengers";"global_id";
"Станция метрополитена";"Линия";"Год";"Квартал";"Входы пассажиров";"Выходы пассажиров";"global_id";
"Митино";"Арбатско-Покровская линия";"2021";"I квартал";"1913498";"1829031";"1138975996";
"Волоколамская";"Арбатско-Покровская линия";"2021";"I квартал";"1236714";"1222309";"1138975997";
"Строгино";"Арбатско-Покровская линия";"2021";"I квартал";"1938816";"1903731";"1138975999";
"Крылатское";"Арбатско-Покровская линия";"2021";"I квартал";"1849616";"1818208";"1138976000";
"Площадь Революции";"Арбатско-Покровская линия";"2021";"I квартал";"2324687";"2319343";"1138976008";
"Бауманская";"Арбатско-Покровская линия";"2021";"I квартал";"3757697";"3919091";"1138976010";
"Первомайская";"Арбатско-Покровская линия";"2021";"I квартал";"2554914";"2542396";"1138976015";
"Беломорская";"Замоскворецкая линия";"2021";"I квартал";"2093304";"2007519";"1138976018";
"Речной вокзал";"Замоскворецкая линия";"2021";"I квартал";"1976604";"1932752";"1138976019";
"Водный стадион";"Замоскворецкая линия";"2021";"I квартал";"2798329";"2787327";"1138976020";
"Войковская";"Замоскворецкая линия";"2021";"I квартал";"3431294";"3442260";"1138976021";
"Аэропорт";"Замоскворецкая линия";"2021";"I квартал";"2538480";"2583879";"1138976023";
"Технопарк";"Замоскворецкая линия";"2021";"I квартал";"1146154";"1162163";"1138976030";
"Коломенская";"Замоскворецкая линия";"2021";"I квартал";"3580149";"3599846";"1138976031";
"Красногвардейская";"Замоскворецкая линия";"2021";"I квартал";"1316075";"1301729";"1138976037";
"Преображенская площадь";"Сокольническая линия";"2021";"I квартал";"3228211";"3269102";"1138976041";
"Красносельская";"Сокольническая линия";"2021";"I квартал";"1648441";"1701806";"1138976043";
"Спортивная";"Сокольническая линия";"2021";"I квартал";"1305311";"1457156";"1138976052";
"Университет";"Сокольническая линия";"2021";"I квартал";"2043642";"2064788";"1138976054";
"Филатов луг";"Сокольническая линия";"2021";"I квартал";"469635";"445592";"1138976060";
"Прокшино";"Сокольническая линия";"2021";"I квартал";"188614";"182256";"1138976061";
"Новомосковская";"Сокольническая линия";"2021";"I квартал";"847290";"836196";"1138976063";
"Новослободская";"Кольцевая линия";"2021";"I квартал";"0";"0";"1138976067";
"Добрынинская";"Кольцевая линия";"2021";"I квартал";"1419971";"1476424";"1138976073";
"Пятницкое шоссе";"Арбатско-Покровская линия";"2021";"I квартал";"1333667";"1273524";"1138976078";
"Свиблово";"Калужско-Рижская линия";"2021";"I квартал";"1755412";"1763433";"1138976079";
"Мякинино";"Арбатско-Покровская линия";"2021";"I квартал";"1375188";"1316352";"1138976083";
"ВДНХ";"Калужско-Рижская линия";"2021";"I квартал";"4446794";"4286587";"1138976084";
"Рижская";"Калужско-Рижская линия";"2021";"I квартал";"0";"0";"1138976089";
"Славянский бульвар";"Арбатско-Покровская линия";"2021";"I квартал";"4160386";"4104955";"1138976092";
"Тургеневская";"Калужско-Рижская линия";"2021";"I квартал";"1232311";"1291698";"1138976096";
"Партизанская";"Арбатско-Покровская линия";"2021";"I квартал";"1208463";"1200756";"1138976108";
