,Название,Линия,lat,long
0,Бульвар Рокоссовского,Сокольническая линия,55.81472222222222,37.73416666666667
1,Черкизовская,Сокольническая линия,55.803888888888885,37.74472222222222
2,Преображенская площадь,Сокольническая линия,55.796388888888885,37.715
3,Сокольники,Сокольническая линия,55.788888888888884,37.680277777777775
4,Красносельская,Сокольническая линия,55.78,37.66722222222222
5,Комсомольская,Сокольническая линия,55.775277777777774,37.65611111111111
6,Красные Ворота,Сокольническая линия,55.76888888888889,37.64861111111111
7,Чистые пруды,Сокольническая линия,55.76583333333333,37.638888888888886
8,Лубянка,Сокольническая линия,55.75972222222222,37.62722222222222
9,Охотный Ряд,Сокольническая линия,55.757777777777775,37.61666666666667
10,Библиотека имени Ленина,Сокольническая линия,55.75111111111111,37.61
11,Кропоткинская,Сокольническая линия,55.74527777777778,37.603611111111114
12,Парк культуры,Сокольническая линия,55.73555555555556,37.594166666666666
13,Фрунзенская,Сокольническая линия,55.72666666666667,37.578611111111115
14,Спортивная,Сокольническая линия,55.723333333333336,37.56388888888888
15,Воробьёвы горы,Сокольническая линия,55.71027777777778,37.55916666666666
16,Университет,Сокольническая линия,55.692499999999995,37.53333333333333
17,Проспект Вернадского,Сокольническая линия,55.67722222222222,37.50611111111111
18,Юго-Западная,Сокольническая линия,55.66361111111111,37.483333333333334
19,Тропарёво,Сокольническая линия,55.645833333333336,37.472500000000004
20,Румянцево,Сокольническая линия,55.63305555555556,37.44194444444444
21,Саларьево,Сокольническая линия,55.621944444444445,37.424166666666665
22,Филатов Луг,Сокольническая линия,55.60138888888889,37.407777777777774
23,Прокшино,Сокольническая линия,55.586111111111116,37.43388888888889
24,Ольховая,Сокольническая линия,55.56861111111112,37.45944444444445
25,Новомосковская,Сокольническая линия,55.56027777777778,37.468333333333334
26,Потапово,Сокольническая линия,55.55305555555555,37.49305555555556
27,Ховрино,Замоскворецкая линия,55.87888888888889,37.481388888888894
28,Беломорская,Замоскворецкая линия,55.865833333333335,37.47638888888889
29,Речной вокзал,Замоскворецкая линия,55.855000000000004,37.476111111111116
30,Водный стадион,Замоскворецкая линия,55.83972222222222,37.486666666666665
31,Войковская,Замоскворецкая линия,55.81888888888889,37.49805555555556
32,Сокол,Замоскворецкая линия,55.805,37.515277777777776
33,Аэропорт,Замоскворецкая линия,55.80027777777777,37.532777777777774
34,Динамо,Замоскворецкая линия,55.78972222222222,37.558055555555555
35,Белорусская,Замоскворецкая линия,55.776666666666664,37.58361111111111
36,Маяковская,Замоскворецкая линия,55.769999999999996,37.59583333333334
37,Тверская,Замоскворецкая линия,55.764722222222225,37.60638888888889
38,Театральная,Замоскворецкая линия,55.757777777777775,37.61888888888889
39,Новокузнецкая,Замоскворецкая линия,55.74138888888889,37.629444444444445
40,Павелецкая,Замоскворецкая линия,55.730555555555554,37.63777777777778
41,Автозаводская,Замоскворецкая линия,55.7075,37.6575
42,Технопарк,Замоскворецкая линия,55.693888888888885,37.66444444444444
43,Коломенская,Замоскворецкая линия,55.67861111111111,37.663888888888884
44,Каширская,Замоскворецкая линия,55.655,37.64861111111111
45,Кантемировская,Замоскворецкая линия,55.63583333333333,37.656388888888884
46,Царицыно,Замоскворецкая линия,55.62138888888889,37.669444444444444
